Country,"Population, total",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),GDP growth (annual %),GDP (current US$),Statistical performance indicators (SPI): Overall score (scale 0-100),"Annual freshwater withdrawals, total (% of internal resources)","Unemployment, total (% of total labor force) (modeled ILO estimate)",People using safely managed sanitation services (% of population),Population growth (annual %),Forest area (% of land area),Proportion of seats held by women in national parliaments (%),"Electricity production from renewable sources, excluding hydroelectric (% of total)","Inflation, consumer prices (annual %)",Access to electricity (% of population),Human Capital Index (HCI) (scale 0-1),"Foreign direct investment, net inflows (% of GDP)",GDP per capita (current US$),"Personal remittances, received (% of GDP)","Life expectancy at birth, total (years)",CO2 emissions (metric tons per capita),Net migration,"Central government debt, total (% of GDP)",Individuals using the Internet (% of population),"Intentional homicides (per 100,000 people)"
Kosovo,"1,756,374",0.4,3.3,10.44,,,,,-0.7,,,0.0,4.9,,0.6,8.2,"5,943.1",18.2,80,,"-5,000",,89,2
Kuwait,"4,310,108",,-2.2,161.77,69.2,,2.1,100,1.0,0.4,3,0.0,3.6,100.0,0.6,0.4,"37,533.2",0.0,80,21.2,"11,999",,100,0
Kyrgyz Republic,"7,100,800",0.7,6.2,13.99,81.5,16,4.0,93,1.8,7.0,20,0.0,10.8,99.7,0.6,0.5,"1,969.9",18.6,72,1.4,"-9,999",47.1,78,2
Lao PDR,"7,633,779",7.1,3.7,15.84,60.4,4,1.2,61,1.4,71.8,22,,31.2,100.0,0.5,4.1,"2,075.4",1.4,69,2.6,"-9,999",,62,
Latvia,"1,881,750",0.4,-0.3,43.63,88.8,1,6.5,85,0.1,54.9,32,16.6,8.9,100.0,0.7,2.9,"23,184.3",2.8,75,3.6,"-7,630",,91,3
Lebanon,"5,353,930",0.0,-0.2,17.94,58.5,38,11.6,26,-2.5,14.1,6,0.0,221.3,100.0,0.5,2.5,"3,350.3",35.5,74,3.8,"-177,331",,87,2
Lesotho,"2,330,318",32.4,0.9,2.05,57.5,1,16.5,48,1.1,1.1,26,,6.3,50.0,0.4,-0.3,878.0,24.1,53,1.0,"-4,000",3.0,48,38
Liberia,"5,418,377",27.6,4.7,4.33,64.9,0,2.9,,2.2,78.8,11,,23.6,31.8,0.3,24.0,799.5,18.5,61,0.2,"-5,000",20.3,34,3
Libya,"6,888,388",,-1.7,50.49,24.4,817,18.7,24,1.1,0.1,16,0.0,2.4,70.0,,1.3,"7,330.0",0.0,72,6.7,"-2,000",,18,
Liechtenstein,"39,584",,-1.2,7.36,,,,96,0.7,41.9,28,,,100.0,,"-1,303.1","187,267.1",,84,3.7,150,,96,5
Lithuania,"2,871,897",0.3,-0.3,77.84,88.1,2,7.0,95,1.4,35.2,28,31.2,9.1,100.0,0.7,1.0,"27,102.8",1.3,76,4.2,"-13,128",36.0,88,3
Luxembourg,"668,606",0.1,-1.1,85.76,87.8,5,5.2,96,2.3,34.5,33,24.9,3.7,100.0,0.7,-394.5,"128,259.4",2.7,83,12.5,"4,883",,98,1
"Macao SAR, China","704,149",,80.5,47.06,,,2.2,68,1.3,,,,1.0,100.0,0.8,12.0,"66,835.1",0.2,85,,"5,000",,88,0
Madagascar,"30,325,732",80.7,4.0,16.03,53.7,4,3.1,12,2.4,21.3,19,,9.9,36.1,0.4,3.1,528.7,2.4,65,0.1,"-1,500",,20,
Malawi,"20,931,751",70.1,1.5,14.08,64.8,8,5.0,46,2.5,23.3,21,,28.8,14.0,0.4,1.9,672.9,1.8,63,0.1,"-6,000",52.6,24,2
Malaysia,"34,308,525",0.0,3.7,399.65,76.6,1,3.9,86,1.1,58.0,14,0.7,2.5,100.0,0.6,3.6,"11,648.7",0.4,76,7.4,"48,997",60.3,97,1
Maldives,"521,021",0.0,4.0,6.6,61.8,16,4.1,,-0.5,2.7,5,,2.3,100.0,,11.7,"12,667.4",0.1,81,2.8,"-8,652",57.3,86,1
Mali,"23,293,698",20.8,5.2,20.9,59.1,9,3.0,16,3.1,10.9,29,,2.1,53.0,0.3,3.8,897.4,5.5,59,0.2,"-39,998",,34,
Malta,"553,214",0.3,5.6,20.96,80.3,82,3.1,88,4.1,1.4,28,7.7,5.1,100.0,0.7,26.3,"37,882.3",1.1,83,3.1,850,,92,0
Marshall Islands,"41,996",0.9,3.2,"284,000,000",35.5,,,,1.0,52.2,12,,,100.0,0.4,1.0,"6,762.5",10.6,65,2.5,0,41.7,39,
Mauritania,"4,862,989",5.4,3.4,10.45,58.9,337,10.5,,2.6,0.3,23,,5.0,49.0,0.4,14.4,"2,149.4",0.6,65,0.9,"3,000",,59,1
Mauritius,"1,261,041",0.1,7.0,14.4,77.3,22,6.1,,-0.1,19.4,20,18.7,7.1,100.0,0.6,2.0,"11,416.9",1.9,74,2.9,0,58.0,68,3
Mexico,"128,455,567",1.2,3.2,1.79,88.6,22,2.8,63,0.7,33.7,50,5.5,5.5,100.0,0.6,2.7,"13,926.1",3.7,75,3.0,"-50,239",44.0,76,28
"Micronesia, Fed. Sts.","115,224",16.0,0.8,"460,000,000",35.3,,,,0.9,92.1,14,,5.4,85.3,0.5,6.3,"3,992.2",5.1,71,1.0,-600,27.9,40,1
Moldova,"2,486,891",0.0,0.8,16.54,82.8,52,1.6,,-2.1,11.7,39,0.3,13.4,100.0,0.6,4.0,"6,650.6",12.3,69,3.3,"-125,204",34.5,61,3
Monaco,"36,297",,11.1,8.78,,,,100,-0.5,0.0,46,,,100.0,,,"240,862.2",,,,200,,86,0
Mongolia,"3,447,157",0.2,7.0,19.87,84.0,1,6.1,66,1.4,9.1,17,3.1,10.3,100.0,0.6,14.6,"5,764.8",2.2,73,6.4,-850,67.6,82,6
Montenegro,"616,177",2.0,6.0,7.4,78.1,,15.3,57,-0.2,61.5,21,0.0,8.6,100.0,0.6,14.0,"12,016.9",10.9,76,4.1,-480,,88,2
Morocco,"37,840,044",1.4,3.2,141.11,72.3,36,9.1,61,1.0,12.9,24,8.2,6.1,100.0,0.5,1.7,"3,672.1",8.6,75,1.8,"-39,998",51.2,88,2
Mozambique,"33,897,354",74.5,5.0,20.62,58.7,1,3.5,,2.8,46.4,43,0.0,7.1,33.2,0.4,16.4,608.4,3.2,60,0.2,"-5,000",78.6,17,4
Myanmar,"54,577,997",2.0,1.0,64.82,72.0,3,2.8,61,0.7,43.3,15,0.0,8.8,73.7,0.5,2.0,"1,187.6",2.3,67,0.6,"-34,998",,44,28
Namibia,"2,604,172",15.6,4.2,12.35,55.8,5,19.4,,1.4,8.0,44,0.0,5.9,56.2,0.4,8.4,"4,742.8",0.5,58,1.6,"-3,916",117.5,53,12
Nauru,"12,780",1.7,0.7,"154,127,798",32.6,,,,0.9,0.0,11,,-0.1,100.0,,,"12,060.1",5.0,64,3.4,-140,,84,
Nepal,"30,896,590",8.2,2.0,40.91,62.0,5,10.7,51,1.1,41.6,33,0.2,7.1,91.3,0.5,0.2,"1,324.0",26.9,70,0.5,"-62,012",39.9,52,2
Netherlands,"17,879,488",0.1,0.1,1.12,92.8,76,3.6,97,1.0,11.0,40,12.4,3.8,100.0,0.8,-1.2,"62,536.7",0.2,82,7.5,"29,998",,93,1
New Caledonia,"267,940",,3.5,9.62,,,11.2,,-0.5,45.8,,,0.6,100.0,,7.2,"35,745.8",6.5,81,,500,,82,3
New Zealand,"5,223,100",,0.6,253.47,88.7,3,3.7,89,2.0,37.6,44,24.6,5.7,100.0,0.8,3.4,"48,527.8",0.2,83,6.2,"12,999",54.6,96,3
Nicaragua,"7,046,310",3.9,4.6,17.83,52.7,1,4.8,,1.4,27.5,52,43.6,8.4,86.5,0.5,8.3,"2,530.3",26.2,75,0.7,"-8,000",,57,11
Niger,"27,202,843",50.6,2.5,16.82,65.3,74,0.6,8,3.7,0.8,26,0.8,3.7,19.5,0.3,6.3,618.3,3.2,62,0.1,"1,000",,22,4
Nigeria,"223,804,632",30.9,2.9,362.81,58.6,6,3.1,32,2.4,23.6,4,0.0,24.7,60.5,0.4,0.0,"1,621.1",5.7,54,0.5,"-59,996",,55,22
North Macedonia,"1,811,980",2.7,1.0,14.76,83.5,30,13.1,12,-1.1,39.7,43,2.9,9.4,100.0,0.6,6.2,"8,146.5",3.1,74,3.7,"-1,000",,83,1
Northern Mariana Islands,"49,796",,-29.7,"858,000,000",,,,,0.5,53.0,,,,100.0,,,"17,302.9",,,,-50,,,
Norway,"5,519,594",0.2,0.5,485.51,93.5,1,3.6,78,1.1,33.5,46,1.9,5.5,100.0,0.8,2.4,"87,961.8",0.1,83,6.7,"27,998",,99,1
Oman,"4,644,384",,1.3,108.19,66.1,117,1.5,,1.5,0.0,0,0.0,0.9,100.0,0.6,4.8,"23,295.3",0.0,74,15.6,0,,96,0
Pakistan,"240,485,658",4.9,0.0,338.37,71.1,345,5.5,,2.0,4.8,20,0.8,30.8,95.0,0.4,0.4,"1,407.0",7.8,66,0.8,"-165,988",55.0,21,4
Palau,"18,058",,0.4,"263,020,734",48.3,,,,0.0,90.2,6,,12.8,100.0,0.6,29.7,"14,565.3",0.4,69,8.8,-20,85.2,27,11
Panama,"4,468,087",1.3,7.3,83.38,70.5,1,6.7,,1.3,56.7,23,4.6,1.5,95.0,0.5,3.9,"18,661.8",0.6,77,2.2,"7,262",,68,13
Papua New Guinea,"10,329,931",39.7,2.7,30.93,46.0,0,2.7,,1.8,79.1,3,,2.3,19.0,0.4,1.0,"2,994.5",0.0,66,0.6,-800,48.3,32,9
Paraguay,"6,861,524",1.3,4.7,42.96,75.8,2,5.8,55,1.2,39.8,23,0.0,4.6,100.0,0.5,1.6,"6,260.5",1.4,70,1.1,"-12,499",,76,8
Peru,"34,352,719",2.7,-0.6,267.6,73.3,2,4.8,58,0.9,56.4,39,3.6,6.5,96.2,0.6,4.4,"7,789.9",1.6,73,1.4,"-61,442",35.2,75,6
Philippines,"117,337,368",3.0,5.5,437.15,83.4,18,2.2,63,1.5,24.2,27,14.9,6.0,94.8,0.5,2.3,"3,725.6",8.9,72,1.2,"-69,996",43.4,53,4
Poland,"36,685,849",0.1,0.2,811.23,91.6,16,2.9,98,-0.4,31.0,29,12.7,11.5,100.0,0.8,5.3,"22,112.9",0.8,77,7.4,"-910,475",,87,1
Portugal,"10,525,347",0.2,2.3,287.08,89.3,16,6.5,93,1.1,36.2,36,30.6,4.3,100.0,0.8,3.7,"27,275.1",0.5,82,3.8,"9,999",,84,1
Puerto Rico,"3,205,691",,0.6,117.9,,12,6.0,33,-0.4,56.0,,,,100.0,,,"36,779.1",,80,,"19,835",,85,17
Qatar,"2,716,391",,4.2,235.77,70.6,446,0.1,100,0.8,0.0,4,0.0,3.0,100.0,0.6,0.0,"87,480.4",0.4,82,31.7,0,,100,0
Romania,"19,056,116",1.8,2.1,351,84.3,15,5.6,88,0.0,30.1,19,14.5,10.4,100.0,0.6,3.8,"18,419.4",2.8,75,3.6,"-254,616",50.5,86,1
Russian Federation,"143,826,130",0.0,3.6,2.02,84.1,2,3.3,61,-0.3,49.8,16,0.1,6.7,100.0,0.7,-1.8,"13,817.0",0.3,73,11.1,"-136,414",19.5,90,7
Rwanda,"14,094,683",52.0,8.2,14.1,70.6,6,14.9,,2.3,11.2,61,,19.8,50.6,0.4,3.0,"1,000.2",3.9,67,0.1,"-8,999",,30,4
Samoa,"225,681",1.2,8.0,"934,100,336",62.4,,9.7,43,1.5,58.0,13,,8.1,98.3,0.5,0.6,"4,139.0",28.4,73,1.0,"-1,500",,78,6
San Marino,"33,642",,8.5,1.86,,,,90,-0.1,16.7,33,,1.0,100.0,,,"54,982.5",1.1,,,100,95.1,75,0
Sao Tome and Principe,"231,856",15.7,-0.5,"603,240,749",54.8,2,14.2,34,1.9,53.4,15,,21.3,78.0,,23.4,"2,601.8",1.4,69,0.6,-600,,51,3
Saudi Arabia,"36,947,025",,-0.8,1.07,80.8,974,4.9,80,1.5,0.5,20,0.0,2.3,100.0,0.6,2.5,"28,895.0",0.0,78,14.3,"28,998",,100,1
Senegal,"17,763,163",9.9,3.7,31.01,72.2,12,2.9,14,2.5,41.7,46,1.8,9.7,67.9,0.4,9.4,"1,746.0",9.5,68,0.6,"-19,999",,58,0
Serbia,"6,618,026",1.2,2.5,75.19,80.8,63,8.7,25,-0.7,32.4,35,0.1,12.4,100.0,0.7,7.3,"11,361.0",7.7,75,6.7,"-9,999",,84,1
Seychelles,"119,773",0.5,3.2,2.14,66.0,,,,-0.1,73.3,23,,8.3,100.0,0.6,9.2,"17,879.2",0.5,74,6.1,-200,60.9,82,5
Sierra Leone,"8,791,092",26.1,3.4,3.81,59.2,0,3.2,15,2.1,34.8,28,,47.6,29.4,0.4,7.2,433.4,6.1,60,0.1,"-4,000",,18,2
Singapore,"5,917,648",,1.1,501.43,86.6,83,3.5,100,4.9,21.4,29,1.8,4.8,100.0,0.9,29.8,"84,734.3",0.0,83,7.7,"26,998",150.1,96,0
Sint Maarten (Dutch part),"41,163",,3.4,1.62,,,,,0.7,10.9,,,2.2,100.0,,1.1,"39,432.6",2.9,74,,0,,,
Slovak Republic,"5,426,740",0.1,1.6,132.79,89.1,4,5.8,82,-0.1,40.1,22,8.2,10.5,100.0,0.7,3.5,"24,470.2",1.7,77,5.3,"-112,067",64.5,89,1
Slovenia,"2,120,937",0.0,1.6,68.22,92.5,5,3.6,84,0.4,61.4,38,3.7,7.4,100.0,0.8,3.6,"32,163.5",1.3,81,5.9,"2,000",,89,0
Solomon Islands,"740,424",26.6,3.0,1.63,48.2,,1.5,,2.2,90.1,8,,5.9,76.0,0.4,2.6,"2,203.2",5.2,71,0.3,"-1,600",15.4,36,4
Somalia,"18,143,378",,3.1,11.68,48.4,55,19.0,33,3.1,9.4,20,,,48.9,,6.1,643.8,14.9,56,0.0,"-30,000",,2,
South Africa,"60,414,495",20.5,0.6,377.78,82.4,45,28.0,72,0.9,14.0,46,1.9,6.1,86.5,0.4,2.3,"6,253.2",0.2,61,6.7,"58,496",76.5,72,42
South Sudan,"11,088,796",67.3,-10.8,12,33.8,3,12.3,,1.6,11.3,32,0.6,2.4,8.4,0.3,0.0,"1,071.8",9.5,56,0.2,"-23,291",,7,14
Spain,"48,373,336",0.6,2.5,1.58,91.4,26,12.1,90,1.2,37.2,44,24.8,3.5,100.0,0.7,3.6,"32,677.0",0.3,83,4.3,"39,998",111.4,94,1
Sri Lanka,"22,037,000",1.0,-2.3,84.36,79.1,25,6.4,,-0.7,34.1,5,3.2,16.5,100.0,0.6,1.2,"3,828.0",6.4,77,1.0,"-77,495",73.5,44,3
St. Kitts and Nevis,"47,755",,3.4,1.08,50.0,51,,,0.2,42.3,31,,3.6,100.0,0.6,4.4,"22,553.3",3.5,72,4.8,20,57.7,79,29
St. Lucia,"180,251",0.1,3.2,2.52,66.0,14,11.1,,0.2,34.0,11,,4.1,100.0,0.6,1.4,"13,980.1",2.5,71,2.8,0,45.9,78,39
St. Martin (French part),"32,077",,4.9,"649,206,263",,,,,0.9,24.8,,,,100.0,,,"20,320.7",,81,,0,,,29
St. Vincent and the Grenadines,"103,698",,6.0,1.07,55.3,8,18.7,,-0.2,73.2,18,,4.6,100.0,0.5,3.4,"10,279.5",6.7,69,2.1,-200,53.7,85,31
Sudan,"48,109,006",15.3,-12.0,109.33,43.6,673,11.4,,2.6,9.7,31,0.0,138.8,63.2,0.4,1.1,"2,272.5",0.9,66,0.5,"-9,999",,28,5
Suriname,"623,236",1.1,2.1,3.78,61.5,1,7.7,25,0.8,97.3,29,0.0,52.4,99.0,,-0.3,"6,069.0",3.9,70,4.3,"-1,000",,66,6
Sweden,"10,536,632",0.6,-0.2,593.27,92.2,1,7.6,96,0.5,68.7,46,16.8,8.5,100.0,0.8,7.8,"56,305.3",0.6,83,3.2,"39,998",36.3,95,1
Switzerland,"8,849,852",0.0,0.7,884.94,88.8,4,4.0,100,0.8,32.2,39,4.3,2.1,100.0,0.8,-1.3,"99,994.9",0.3,83,4.0,"39,998",17.8,96,0
Syrian Arab Republic,"23,227,014",24.8,1.3,8.98,31.9,196,13.5,,4.9,2.8,11,0.0,36.7,89.0,,1.2,421.1,2.6,72,1.2,"757,103",,36,2
Tajikistan,"10,143,543",6.1,8.3,12.06,53.4,17,7.0,,1.9,3.1,27,0.0,6.0,100.0,0.5,1.6,"1,189.0",38.4,71,1.0,"-19,999",79.8,22,1
Tanzania,"67,438,106",44.9,5.2,79.16,67.3,6,2.6,25,2.9,51.1,37,0.7,3.8,45.8,0.4,1.7,"1,211.1",0.4,67,0.2,"-39,997",,32,4
Thailand,"71,801,279",0.0,1.9,514.94,82.5,26,0.9,26,0.1,38.8,19,5.9,1.2,99.9,0.6,2.3,"7,171.8",1.9,80,3.7,"18,999",60.3,88,5
Timor-Leste,"1,360,596",24.4,-14.4,2.24,59.9,14,1.5,,1.4,61.8,37,,1.0,99.7,0.5,-12.3,"1,648.6",10.9,69,0.3,"-5,000",,39,4
Togo,"9,053,799",26.6,6.4,9.17,66.7,2,2.0,6,2.3,22.2,20,6.2,8.0,57.2,0.4,-2.8,"1,013.0",6.1,62,0.3,"-2,000",,35,
Tonga,"107,773",0.0,-2.0,"500,274,898",59.9,,2.3,32,0.9,12.4,7,,6.4,100.0,0.5,1.5,"4,681.7",45.0,71,1.1,-800,45.0,72,1
Trinidad and Tobago,"1,534,937",,2.1,28.14,55.4,9,4.2,,0.3,44.4,29,0.0,4.6,100.0,0.6,-3.0,"18,333.0",0.6,75,10.2,-800,15.9,79,29
Tunisia,"12,458,223",0.3,0.4,48.53,75.1,92,15.1,81,0.8,4.5,16,2.5,9.3,100.0,0.5,1.4,"3,895.4",5.6,74,2.4,"-4,000",42.5,79,5
Turkiye,"85,326,000",0.4,4.5,1.11,87.7,27,9.4,79,0.4,29.1,20,6.3,53.9,100.0,0.6,1.5,"12,985.8",0.1,78,4.9,"-318,067",35.2,83,3
Turkmenistan,"6,516,100",,6.3,59.89,31.4,"1,868",4.1,,1.3,8.8,26,0.0,,100.0,,1.7,"9,190.7",,69,10.2,"-4,000",,21,1
Turks and Caicos Islands,"46,062",,1.2,1.4,,,,34,0.8,11.1,,,,99.9,,2.8,"30,438.4",0.0,75,,200,,,6
Tuvalu,"11,396",3.6,3.9,"62,280,312",38.1,,,37,0.7,33.3,6,,0.5,100.0,0.4,0.3,"5,465.1",4.8,65,0.6,-60,,72,0
Uganda,"48,582,334",42.1,5.2,49.27,70.7,2,2.8,18,2.8,11.5,34,,5.4,47.1,0.4,6.5,"1,014.2",2.6,64,0.1,"-126,181",53.9,10,9
Ukraine,"37,000,000",0.0,5.3,178.76,78.9,17,9.8,72,-2.7,16.7,20,1.1,12.8,100.0,0.6,0.2,"5,181.4",8.5,69,3.7,"1,784,718",58.7,79,4
United Arab Emirates,"9,516,871",0.0,3.4,504.17,79.5,"1,587",2.7,98,0.8,4.5,50,0.2,4.8,100.0,0.7,4.5,"52,976.8",,79,20.3,0,1.8,100,0
United Kingdom,"68,350,000",0.2,0.1,3.34,87.1,6,4.1,98,0.8,13.2,35,23.0,6.8,100.0,0.8,1.5,"48,866.6",0.1,82,4.6,"165,790",142.3,97,1
United States,"334,914,895",0.2,2.5,27.36,92.8,16,3.6,97,0.5,33.9,29,7.4,4.1,100.0,0.7,1.5,"81,695.2",0.0,77,13.0,"999,700",110.4,92,7
Uruguay,"3,423,108",0.2,0.4,77.24,77.7,4,8.4,,0.0,11.7,26,28.4,5.9,100.0,0.6,12.1,"22,564.5",0.2,78,1.9,"-1,500",60.3,90,9
Uzbekistan,"36,412,350",2.3,6.0,90.89,70.6,360,4.5,75,2.1,8.4,34,0.0,11.4,100.0,0.6,3.1,"2,496.1",17.7,72,3.4,"-19,999",,77,1
Vanuatu,"334,506",10.0,2.2,1.13,51.2,,5.1,,2.3,36.3,2,,6.7,70.0,0.5,1.0,"3,367.1",15.7,70,0.4,0,87.1,66,0
"Venezuela, RB","28,838,499",7.1,-3.9,482.36,52.3,3,5.5,27,1.9,52.3,22,0.0,254.9,100.0,,0.2,"15,975.7",0.0,71,2.5,"321,106",,62,19
Viet Nam,"98,858,950",1.0,5.0,429.72,72.2,23,1.6,44,0.7,47.0,30,0.1,3.3,100.0,0.7,4.4,"4,346.8",3.3,75,3.7,"-82,700",,79,2
Virgin Islands (U.S.),"104,917",,2.9,4.44,,,12.1,,-0.5,57.3,,,,100.0,,,"41,976.0",,80,,-450,,64,50
West Bank and Gaza,"5,165,775",0.5,-5.5,17.4,83.4,43,24.4,70,2.4,1.7,,,5.9,100.0,0.6,1.2,"3,367.6",21.8,73,,"-5,000",,89,1
"Yemen, Rep.","34,449,825",19.8,0.8,21.61,33.2,170,17.2,19,2.2,1.0,0,0.0,8.1,76.0,0.4,-1.7,533.4,20.5,64,0.3,"-29,914",,27,6
Zambia,"20,569,737",64.3,5.8,28.16,62.1,2,5.9,,2.7,60.0,15,0.0,10.9,47.8,0.4,-0.2,"1,369.1",0.9,62,0.4,"-5,000",71.4,21,5
Zimbabwe,"16,665,409",39.8,5.0,26.54,70.2,31,8.8,32,2.1,45.0,31,1.3,104.7,50.1,0.5,1.2,"1,592.4",11.7,59,0.5,"-9,999",,35,6
